numofvars,v1,v2,v3,v4,v5,v6,v7,class,cluster,exemplar
7,0.23,0.48,0.48,0.5,0.59,0.88,0.89,1,5,6
7,0.27,0.35,0.48,0.5,0.51,0.77,0.79,1,5,6
7,0.29,0.47,0.48,0.5,0.71,0.65,0.69,1,5,6
7,0.12,0.67,0.48,0.5,0.74,0.58,0.63,1,5,6
7,0.31,0.5,0.48,0.5,0.57,0.84,0.85,1,5,6
7,0.34,0.51,0.48,0.5,0.67,0.9,0.9,1,5,6
7,0.2,0.46,0.48,0.5,0.57,0.78,0.81,1,5,6
7,0.11,0.5,0.48,0.5,0.58,0.72,0.68,1,5,6
7,0.31,0.36,0.48,0.5,0.58,0.94,0.94,1,5,6
7,0.34,0.49,0.48,0.5,0.58,0.85,0.8,1,6,9
7,0.43,0.4,0.48,0.5,0.58,0.75,0.78,1,6,9
7,0.4,0.5,0.48,0.5,0.65,0.82,0.84,1,6,9
7,0.48,0.45,0.48,0.5,0.6,0.78,0.8,1,6,9
7,0.47,0.55,0.48,0.5,0.58,0.71,0.75,1,6,9
7,0.33,0.56,0.48,0.5,0.33,0.78,0.8,1,6,9
7,0.47,0.59,0.48,0.5,0.52,0.76,0.79,1,6,9
7,0.49,0.42,0.48,0.5,0.53,0.79,0.81,1,6,9
7,0.45,0.4,0.48,0.5,0.61,0.74,0.77,1,6,9
7,0.41,0.51,0.48,0.5,0.53,0.75,0.78,1,6,9
7,0.34,0.67,0.48,0.5,0.52,0.76,0.79,1,6,9
7,0.51,0.4,0.48,0.5,0.57,0.62,0.67,1,6,9
7,0.5,0.57,0.48,0.5,0.71,0.61,0.66,1,6,9
7,0.37,0.47,0.48,0.5,0.39,0.76,0.79,1,6,9
7,0.36,0.47,0.48,0.5,0.51,0.69,0.72,1,6,9
7,0.39,0.41,0.48,0.5,0.52,0.72,0.75,1,6,9
7,0.47,0.46,0.48,0.5,0.62,0.74,0.77,0,6,9
7,0.46,0.61,0.48,0.5,0.48,0.86,0.87,1,7,9
7,0.55,0.47,0.48,0.5,0.57,0.78,0.8,1,7,9
7,0.54,0.49,0.48,0.5,0.4,0.87,0.88,1,7,9
7,0.5,0.66,0.48,0.5,0.31,0.92,0.92,1,7,9
7,0.64,0.58,0.48,0.5,0.48,0.78,0.73,1,7,9
7,0.54,0.57,0.48,0.5,0.56,0.81,0.83,1,7,9
7,0.63,0.5,0.48,0.5,0.59,0.85,0.86,1,7,9
7,0.6,0.61,0.48,0.5,0.54,0.67,0.71,1,7,9
7,0.63,0.54,0.48,0.5,0.65,0.79,0.81,1,7,9
7,0.59,0.56,0.48,0.5,0.55,0.8,0.82,1,7,9
7,0.6,0.46,0.48,0.5,0.45,0.81,0.83,1,7,9
7,0.58,0.55,0.48,0.5,0.57,0.7,0.74,1,7,9
7,0.61,0.66,0.48,0.5,0.46,0.87,0.88,1,7,9
7,0.52,0.54,0.48,0.5,0.62,0.76,0.79,1,7,9
7,0.63,0.49,0.48,0.5,0.54,0.76,0.79,0,7,9
7,0.76,0.71,0.48,0.5,0.5,0.71,0.75,0,7,9
7,0.58,0.6,0.48,0.5,0.59,0.73,0.76,0,7,9
7,0.7,0.53,0.48,0.5,0.7,0.86,0.87,0,7,9
7,0.7,0.71,0.48,0.5,0.42,0.84,0.85,0,7,9
7,0.46,0.59,0.48,0.5,0.36,0.76,0.23,1,8,0
7,0.36,0.45,0.48,0.5,0.38,0.79,0.17,1,8,0
7,0.1,0.49,0.48,0.5,0.41,0.67,0.21,1,8,0
7,0.3,0.51,0.48,0.5,0.42,0.61,0.34,1,8,0
7,0.61,0.47,0.48,0.5,0,0.8,0.32,1,8,0
7,0.63,0.57,0.48,0.5,0.49,0.7,0.2,0,8,0
