numofvars,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,class,cluster,exemplar
8,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,1,5,4
8,0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,0,5,4
8,0.53,0.51,0.55,0.05,0.5,0,0.45,0.25,1,5,4
8,0.59,0.48,0.5,0.14,0.5,0,0.45,0.25,0,5,4
8,0.58,0.5,0.5,0.12,0.5,0,0.48,0.25,1,5,4
8,0.56,0.52,0.48,0.17,0.5,0,0.46,0.22,1,5,4
8,0.5,0.51,0.52,0.09,0.5,0,0.48,0.25,1,5,4
8,0.58,0.48,0.56,0.12,0.5,0,0.46,0.25,1,5,4
8,0.52,0.5,0.53,0.1,0.5,0,0.48,0.22,0,5,4
8,0.57,0.49,0.48,0.16,0.5,0,0.51,0.22,1,5,4
8,0.55,0.49,0.45,0.18,0.5,0,0.49,0.22,1,5,4
8,0.69,0.39,0.52,0.12,0.5,0,0.38,0.35,0,5,4
8,0.54,0.53,0.48,0.14,0.5,0,0.49,0.33,1,5,4
8,0.64,0.5,0.53,0.1,0.5,0,0.51,0.22,1,5,4
8,0.61,0.46,0.54,0.11,0.5,0,0.47,0.22,0,5,4
8,0.72,0.51,0.52,0.08,0.5,0,0.54,0.22,1,5,4
8,0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,0,5,4
8,0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,0,5,4
8,0.57,0.5,0.4,0.08,0.5,0,0.47,0.22,0,5,4
8,0.59,0.54,0.53,0.14,0.5,0,0.48,0.22,0,5,4
8,0.52,0.45,0.45,0.13,0.5,0,0.48,0.22,1,5,4
8,0.59,0.49,0.45,0.22,0.5,0,0.45,0.31,1,5,4
8,0.55,0.46,0.47,0.15,0.5,0,0.47,0.22,0,5,4
8,0.6,0.46,0.51,0.1,0.5,0,0.48,0.31,0,5,4
8,0.6,0.46,0.51,0.1,0.5,0,0.48,0.31,0,5,4
8,0.59,0.51,0.47,0.21,0.5,0,0.47,0.22,0,5,4
8,0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,0,5,4
8,0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,0,5,4
8,0.63,0.58,0.57,0.1,0.5,0,0.52,0.33,1,5,4
8,0.56,0.49,0.47,0.13,0.5,0,0.52,0.22,1,5,4
8,0.55,0.44,0.5,0.09,0.5,0,0.55,0.22,0,5,4
8,0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,0,7,1
8,0.42,0.51,0.5,0.12,0.5,0,0.52,0.46,1,7,1
8,0.35,0.6,0.47,0.13,0.5,0,0.52,0.43,1,7,1
8,0.33,0.44,0.49,0.08,0.5,0,0.48,0.49,1,7,1
8,0.43,0.54,0.58,0.16,0.5,0,0.5,0.36,1,7,1
8,0.4,0.48,0.5,0.17,0.5,0,0.54,0.5,0,7,1
8,0.48,0.57,0.5,0.09,0.5,0,0.52,0.42,1,7,1
8,0.47,0.47,0.5,0.15,0.5,0,0.5,0.48,1,7,1
8,0.36,0.48,0.5,0.13,0.5,0,0.49,0.6,1,7,1
8,0.4,0.44,0.5,0.13,0.5,0,0.52,0.39,0,7,1
8,0.42,0.46,0.44,0.17,0.5,0,0.51,0.42,0,7,1
8,0.4,0.45,0.45,0.15,0.5,0,0.53,0.48,1,7,1
8,0.38,0.44,0.57,0.14,0.5,0,0.53,0.52,1,7,1
8,0.41,0.47,0.5,0.14,0.5,0,0.53,0.37,1,7,1
8,0.31,0.44,0.53,0.23,0.5,0,0.51,0.32,1,8,0
8,0.31,0.31,0.56,0.33,0.5,0,0.52,0.33,1,8,0
8,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,0,8,0
8,0.35,0.4,0.59,0.22,0.5,0,0.47,0.37,1,8,0
