v1,v2,v3,v4,v5,v6,v7
0.133677,0.551061,0.48,0.5,0.73388,0.660935,0.749958
0.110775,0.5,0.48,0.5,0.575333,0.83844,0.827655
0.242954,0.419212,0.48,0.5,0.549872,0.77048,0.792781
0.172598,0.508672,0.48,0.5,0.6614,0.804136,0.846496
0.211669,0.390989,0.48,0.5,0.58,0.922658,0.834991
0.15095,0.456976,0.48,0.5,0.555759,0.614252,0.729378
0.30295,0.364627,0.48,0.5,0.58,0.737678,0.820438
0.320525,0.506643,0.48,0.5,0.6805,0.674705,0.720769
0.165436,0.584191,0.48,0.5,0.666583,0.673423,0.633488
0.121339,0.642625,0.48,0.5,0.650587,0.820654,0.800654
0.372484,0.492322,0.48,0.5,0.600701,0.837534,0.82373
0.520214,0.600533,0.48,0.5,0.454811,0.866732,0.875822
0.414469,0.571342,0.48,0.5,0.365082,0.786799,0.191583
0.337518,0.484947,0.48,0.5,0.405432,0.621745,0.325328
0.187441,0.494619,0.48,0.5,0.411494,0.676483,0.20791
0.181771,0.498778,0.48,0.5,0.417941,0.632263,0.280997
0.257176,0.504983,0.48,0.5,0.411379,0.669284,0.281874
0.600151,0.491271,0.48,0.5,0.0685879,0.709932,0.320163
0.237399,0.587113,0.48,0.5,0.409782,0.699873,0.211293
0.57099,0.459172,0.48,0.5,0.163414,0.799643,0.274447
0.502305,0.47806,0.48,0.5,0.483091,0.712047,0.197755
0.350817,0.580237,0.48,0.5,0.417806,0.747342,0.276468
0.289062,0.501607,0.48,0.5,0.41709,0.657581,0.321754
0.533455,0.472824,0.48,0.5,0.125182,0.764772,0.295198
0.346227,0.521951,0.48,0.5,0.4074,0.726088,0.291054
0.36,0.45,0.48,0.5,0.38,0.79,0.17
0.604319,0.586819,0.48,0.5,0.454508,0.711748,0.212849
0.587359,0.549865,0.48,0.5,0.438282,0.628416,0.31354
0.1,0.49,0.48,0.5,0.41,0.67,0.21
0.517529,0.498602,0.48,0.5,0.333632,0.792556,0.311087
0.323648,0.573095,0.48,0.5,0.397237,0.747104,0.289084
0.36,0.45,0.48,0.5,0.38,0.79,0.17
0.61664,0.516549,0.48,0.5,0.441903,0.685875,0.209419
0.149391,0.50236,0.48,0.5,0.4105,0.639763,0.325924
0.601549,0.509871,0.48,0.5,0.447269,0.699555,0.208869
0.614046,0.528895,0.48,0.5,0.1416,0.73068,0.300341
0.594495,0.528207,0.48,0.5,0.319163,0.793548,0.293234
0.314074,0.460877,0.48,0.5,0.393268,0.669377,0.290137
0.63,0.57,0.48,0.5,0.49,0.7,0.2
0.322496,0.547662,0.48,0.5,0.374794,0.656121,0.298628
0.281988,0.503135,0.48,0.5,0.412844,0.633548,0.226838
0.480237,0.49366,0.48,0.5,0.011818,0.783005,0.320018
0.348178,0.55686,0.48,0.5,0.3806,0.712985,0.219386
0.176016,0.474992,0.48,0.5,0.381611,0.762555,0.178971
0.277033,0.526715,0.48,0.5,0.427505,0.699232,0.207278
0.550358,0.553456,0.48,0.5,0.474379,0.681229,0.321948
0.514722,0.511785,0.48,0.5,0.47779,0.689711,0.206174
0.427077,0.479629,0.48,0.5,0.34358,0.643759,0.337239
0.45251,0.528272,0.48,0.5,0.363142,0.610375,0.233726
0.36,0.45,0.48,0.5,0.38,0.79,0.17
0.621388,0.583399,0.48,0.5,0.431588,0.747631,0.221667
0.420956,0.563163,0.48,0.5,0.392652,0.626503,0.287869
0.143165,0.492167,0.48,0.5,0.413277,0.664963,0.289991
0.596468,0.516188,0.48,0.5,0.103516,0.781046,0.266506
0.309109,0.503752,0.48,0.5,0.401914,0.731045,0.217346
0.332726,0.473903,0.48,0.5,0.386308,0.651425,0.216958
0.525013,0.579354,0.48,0.5,0.409644,0.730124,0.202129
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.223005,0.476231,0.48,0.5,0.397527,0.7043,0.200855
0.555898,0.467985,0.48,0.5,0.340338,0.79864,0.242567
0.30354,0.516236,0.48,0.5,0.402954,0.74124,0.233414
0.314739,0.460846,0.48,0.5,0.395567,0.764577,0.311351
0.616568,0.585317,0.48,0.5,0.442593,0.723259,0.219671
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.26102,0.546012,0.48,0.5,0.42556,0.684477,0.208431
0.611295,0.476851,0.48,0.5,0.395072,0.721464,0.285048
0.517685,0.477892,0.48,0.5,0.126303,0.799391,0.238182
0.332513,0.499559,0.48,0.5,0.390941,0.681029,0.247298
0.63,0.57,0.48,0.5,0.49,0.7,0.2
0.380891,0.547768,0.48,0.5,0.427501,0.674569,0.330374
0.312867,0.457499,0.48,0.5,0.409565,0.680932,0.180297
0.508686,0.45106,0.48,0.5,0.290181,0.793416,0.199389
0.431285,0.46063,0.48,0.5,0.369888,0.78401,0.187548
0.437609,0.451379,0.48,0.5,0.19069,0.795686,0.248092
0.581411,0.528395,0.48,0.5,0.411006,0.688694,0.208502
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.293451,0.538688,0.48,0.5,0.439513,0.673027,0.203886
0.470813,0.455029,0.48,0.5,0.367417,0.793738,0.314786
0.489234,0.550096,0.48,0.5,0.0447597,0.766738,0.291594
